Club_Name;Club_Address;Club_Postal;Club_City;Club_Phone;Club_Email_Main;Club_Email_Bcc;Club_Contact_FirstName;Club_Contact_LastName;Club_Contact_Position;Club_Contact_Linkedin
Cercle De La Forme Charonne;131 Boulevard de Charonne;75011;Paris;01.43.72.76.96;cdfcharonne@gmail.com;;Les;Cerclesdelaforme|Linkedinfr.Linkedin.Com›Company›Les;Cercles;https://fr.linkedin.com/company/les-cercles-de-la-forme
Magic Form Paris 19Ème;58 Rue Riquet;75019;Paris;01 70 82 49 80;mcf_sarl@yahoo.fr;magicform75019@gmail.com;Marcel;Mateus;Co;https://fr.linkedin.com/in/marcel-mateus-234437189
Fitness Park Paris - Alesia;95 Avenue du Général Leclerc;75014;Paris;06.21.72.21.76;alesia@fitnesspark.fr;;Jean;;Philippe Martin;https://fr.linkedin.com/in/jean-philippe-martin-72625257
Keep Cool Paris 16 Victor Hugo;74bis Rue Lauriston;75016;Paris;01.42.56.08.83;victorhugo@keepcool.fr;;Antoine;Dosset;Educateur Sportif;https://fr.linkedin.com/in/antoine-dosset-124419b8
Skarbowsky Gym Paris 18;135 rue Lamarck;75018;Paris;;skarbowskygym@gmail.com;;;;;
R2 Pereire;15 Boulevard Gouvion-Saint-Cyr;75017;Paris;01 70 93 93 37;contact@r2training.fr;;David;Moireau;Directeur Des Opérations;https://fr.linkedin.com/in/david-moireau
Bodyhit Pigalle;48 Rue de la Tour d'Auvergne;75009;Paris;01 70 93 93 38;fitnfitparis@gmail.com;;Sylvie;Plichta;Dirigeante Bodysyl Sas;https://fr.linkedin.com/in/sylvie-plichta-77069a164
Neoness Paris Saint Lazare;44 Rue de Clichy;75009;Paris;01.83.79.94.75;accueil.saint-lazare@neoness-forme.com;;Yves;Rente;Manager;https://fr.linkedin.com/in/yves-rente-14a63972
Fitness Story Paris 18;90 Avenue de Saint-Ouen;75018;Paris;01.42.29.16.83;coachmamar@yahoo.fr;;Hawa;Harradjidioule;Manager Coach;https://fr.linkedin.com/in/hawa-harradji-dioule-10170789
Healthcity Paris 17 Ternes;71 avenue des Ternes;75017;Paris;01 70 82 60 33;manager.ternes@form-developpement.com;;Nicolas;Nerriec;Marketing Project Manager;https://fr.linkedin.com/in/nicolas-nerriec-b44a32109
Cercle De La Forme Dauphine;3 boulevard Lannes;75016;Paris;01.45.04.04.03;cdfdauphine@gmail.com;;Nadege;Gaillard;Chief Marketing Officer;https://fr.linkedin.com/in/nadege-gaillard/fr
Bodytech Vip Paris 9;48 Rue Lamartine;75009;Paris;01.53.21.92.44;bodytechvip9@orange.fr;claudia.carlon@orange.fr;Samuel;Couhault;Gérant;https://fr.linkedin.com/in/samuel-couhault-96a5395a
Magic Form Paris 12Ème;12 Rue des Fonds Verts;75012;Paris;01 73 20 22 96;mcf_sarl@yahoo.com;magicformparis12@yahoo.fr;Tristan;Delset;Magic Form;https://fr.linkedin.com/in/tristandelset
