Club_Name;Club_Address;Club_Postal;Club_City;Club_Phone;Club_Email_Main;Club_Email_Bcc;Club_Contact_FirstName;Club_Contact_LastName;Club_Contact_Position;Club_Contact_Linkedin
Le Studio Sport;141 Rue Giraudeau;37000;Tours;06 13 78 20 67 02 45 48 20 75;lestudiosport@gmail.com;;Morgan;Moreau;Associé Gérant , Head Coach;https://fr.linkedin.com/in/morgan-moreau-04483a159
Iron Gym Tours;15 rue Arthur Rimbaud;37100;Tours;01 70 82 49 80;irongymtours@gmail.com;;Solène;Mobisa;Sup'De Com;https://fr.linkedin.com/in/sol%C3%A8ne-mobisa-19b007136
Magic Form Tours;228 Avenue André Maginot;37100;Tours;01 70 93 93 37;magic.form.tours@gmail.com;;Samy;Mekedder;Associé Gérant;https://fr.linkedin.com/in/samy-mekedder-090a59156
Sthen Tours;8 Allée Colette Duval;37100;Tours;01 70 93 93 38;tours.nord@sthen.fr;;Vincent;Boutigny;Directeur Général;https://fr.linkedin.com/in/vincent-boutigny-63925b53
Elancia Tours Nord;103 Boulevard Charles de Gaulle;37540;Saint-Cyr-sur-Loire;02.47.51.16.61;tours-nord@elancia.fr;;Cédric;Nicolas;Masso Relaxologue;https://fr.linkedin.com/in/c%C3%A9dric-nicolas-316a79116
Mercure Fitness & Spa;Allée André Malraux;37300;Joué-lès-Tours;02.47.53.97.77;laeti.riba@gmail.com;;Bertrand;Lemaire;Rédacteur En Chef De Cio;https://fr.linkedin.com/in/bertrandlemaire
Keep Cool Tours;10 Rue Charles Coulomb;37170;Chambray-lès-Tours;02 47 72 03 69;tours@keepcool.fr;;Enseigne;Keepcool|Linkedinfr.Linkedin.Com›Company›Groupe;Dg;https://fr.linkedin.com/company/groupe-dg---enseigne-keep-cool
Wake Up Form Tours;22 rue du Pont de l'Arche;37550;Saint-Avertin;02.47.48.23.24;tours@wakeupform.fr;;Benoit;Ponsort;Recherche D'Un Poste;https://fr.linkedin.com/in/benoit-ponsort-82b5b5174
Elancia St Cyr;5 Boulevard André-Georges Voisin;37540;Saint-Cyr-sur-Loire;02.47.44.79.74;saint-cyr@elancia.fr;;;;;
Wefit.Club Tours Sud;16 Avenue du Lac;37550;Saint-Avertin;02.47.26.58.27;amazoniatourssud@orange.fr;;;;;
Fitness Park Tours Saint Cyr;250 Boulevard Charles de Gaulle;37540;Saint-Cyr-sur-Loire;09 87 34 85 70;tourssaintcyr@fitnesspark.fr;;Teddy;Houblon;"Reveil Sportif De Saint Cyr Sur Loire
Fr.Linkedin.Com › ...";https://fr.linkedin.com/in/teddy-houblon-57a620189
